DEWP,TEMP,PRES,Iws,Ir,year,month,day,hour,cbwd,Is,pm2.5
-12,2.0,1030.0,30.4,0,a4,b1,c17,d14,SE,i0,63.0
8,14.0,1014.0,10.29,1,a0,b3,c18,d7,NW,i0,324.0
-5,-1.0,1021.0,0.89,0,a0,b10,c22,d8,NE,i0,232.0
5,23.0,1001.0,3.58,0,a4,b4,c14,d10,NE,i0,40.0
-3,11.0,1019.0,68.4,0,a2,b2,c27,d23,SE,i0,45.0
-22,11.0,1009.0,1.79,0,a3,b2,c17,d13,cv,i0,9.0
-6,1.0,1020.0,1.79,0,a1,b1,c15,d17,SE,i0,214.0
-2,29.0,1000.0,16.1,0,a2,b5,c9,d16,NW,i0,6.0
-22,3.0,1029.0,18.78,0,a2,b2,c10,d21,SE,i0,45.0
4,14.0,1015.0,0.89,0,a4,b3,c20,d23,cv,i0,68.0
-4,-1.0,1023.0,304.15,0,a0,b10,c16,d1,NW,i0,276.0
-20,-4.0,1031.0,97.89,0,a2,b11,c28,d13,NW,i0,15.0
27,32.0,996.0,7.15,0,a0,b6,c28,d18,NE,i0,278.0
0,11.0,1009.0,0.89,0,a0,b10,c19,d16,SE,i0,217.0
14,20.0,1013.0,0.89,0,a1,b8,c7,d11,cv,i0,26.0
13,19.0,1012.0,1.79,0,a0,b4,c25,d5,NE,i0,86.0
18,33.0,1000.0,8.94,0,a4,b7,c9,d17,SE,i0,20.0
-17,4.0,1025.0,21.46,0,a2,b2,c9,d9,NW,i0,26.0
5,10.0,1016.0,3.13,0,a1,b4,c15,d6,NW,i0,55.0
0,21.0,1011.0,13.4,0,a4,b2,c23,d15,cv,i0,242.0
8,12.0,1003.0,2.23,0,a4,b4,c6,d2,cv,i0,127.0
16,21.0,1016.0,4.92,0,a0,b4,c30,d21,SE,i0,60.0
-3,4.0,1016.0,1.78,0,a4,b1,c0,d13,cv,i0,124.0
-16,19.0,1010.0,33.53,0,a2,b3,c2,d18,NW,i0,10.0
20,24.0,1003.0,43.81,0,a0,b5,c28,d2,SE,i0,199.0
-25,-8.0,1029.0,1.34,0,a4,b1,c4,d5,cv,i0,115.0
-9,-4.0,1015.0,0.89,0,a2,b10,c26,d5,cv,i0,171.0
7,16.0,1014.0,2.67,0,a4,b9,c22,d13,cv,i0,149.0
-13,8.0,1023.0,4.92,0,a1,b1,c23,d10,NE,i0,16.0
-6,11.0,1019.0,74.22,0,a2,b10,c6,d19,NW,i0,39.0
-18,9.0,1012.0,92.97,0,a3,b11,c30,d16,NW,i0,16.0
-23,2.0,1028.0,67.06,0,a3,b11,c24,d18,NW,i0,26.0
24,32.0,1006.0,1.78,0,a1,b7,c10,d11,cv,i0,80.0
17,20.0,1009.0,44.69,0,a1,b4,c27,d1,SE,i0,160.0
-36,2.0,1025.0,88.08,0,a4,b1,c2,d14,NW,i0,6.0
11,15.0,1018.0,3.13,0,a1,b8,c16,d3,NE,i0,10.0
20,24.0,1004.0,36.21,0,a2,b5,c20,d0,SE,i0,185.0
-13,-3.0,1018.0,52.76,0,a0,b11,c10,d21,SE,i0,116.0
-10,1.0,1029.0,3.13,0,a3,b2,c12,d7,NW,i0,16.0
17,25.0,1009.0,3.58,0,a3,b7,c18,d22,SE,i0,40.0
11,30.0,1012.0,22.8,0,a3,b4,c23,d13,NE,i0,43.0
6,10.0,1026.0,2.67,0,a0,b9,c19,d14,cv,i0,79.0
8,11.0,1016.0,1.34,0,a1,b8,c19,d23,cv,i0,24.0
6,18.0,1001.0,73.3,0,a0,b4,c1,d3,SE,i0,93.0
19,23.0,1002.0,5.81,0,a0,b6,c4,d5,NW,i0,104.0
-22,2.0,1026.0,4.02,0,a2,b1,c17,d18,SE,i0,50.0
12,31.0,1007.0,11.18,0,a0,b5,c23,d13,SE,i0,70.0
10,19.0,1006.0,2.67,0,a2,b4,c26,d6,cv,i0,80.0
2,14.0,1017.0,1.79,0,a1,b2,c30,d10,SE,i0,212.0
5,6.0,1013.0,26.38,3,a3,b3,c3,d18,NW,i0,84.0
21,24.0,1005.0,3.58,0,a4,b6,c6,d6,SE,i0,94.0
-12,-7.0,1028.0,5.81,0,a1,b1,c17,d6,NW,i0,88.0
-10,-3.0,1030.0,1.78,0,a2,b0,c27,d11,cv,i0,79.0
-9,21.0,1015.0,3.13,0,a1,b3,c17,d15,NE,i0,13.0
18,21.0,1008.0,4.02,0,a4,b5,c0,d2,NW,i0,53.0
-3,3.0,1027.0,11.17,0,a3,b9,c15,d6,NW,i0,41.0
11,14.0,1008.0,12.52,0,a2,b3,c20,d21,SE,i0,192.0
6,18.0,1017.0,10.29,0,a2,b9,c19,d17,SE,i0,199.0
-5,-3.0,1025.0,0.89,0,a3,b0,c26,d21,SE,i0,329.0
10,36.0,999.0,27.71,0,a0,b6,c5,d19,SE,i0,25.0
-14,-6.0,1024.0,4.45,0,a4,b11,c21,d3,cv,i0,95.0
22,25.0,1009.0,1.79,0,a2,b8,c0,d15,NE,i0,114.0
6,13.0,1013.0,6.71,0,a1,b10,c17,d16,SE,i0,43.0
-14,6.0,1022.0,25.93,0,a2,b2,c8,d17,SE,i0,73.0
16,23.0,1018.0,1.78,0,a3,b8,c7,d10,cv,i0,72.0
-22,-2.0,1034.0,56.31,0,a0,b1,c9,d22,NE,i0,11.0
-9,-1.0,1025.0,0.89,0,a1,b2,c3,d8,NE,i0,83.0
11,25.0,1002.0,110.42,1,a1,b4,c30,d16,NW,i0,12.0
-7,16.0,1018.0,31.74,0,a4,b10,c0,d14,NW,i0,13.0
-8,6.0,1019.0,33.97,0,a2,b2,c30,d23,SE,i0,52.0
21,23.0,995.0,4.92,0,a2,b6,c10,d1,NW,i0,33.0
-3,4.0,1009.0,1.79,0,a1,b2,c12,d6,NW,i0,320.0
-20,16.0,1020.0,37.99,0,a1,b3,c9,d19,NW,i0,11.0
-8,4.0,1018.0,8.05,0,a2,b10,c23,d17,SE,i0,158.0
-22,4.0,1028.0,30.39,0,a2,b1,c17,d15,NW,i0,45.0
0,3.0,1024.0,3.13,0,a2,b11,c14,d17,NW,i0,260.0
15,16.0,1018.0,3.56,0,a1,b8,c11,d9,cv,i0,124.0
-8,-5.0,1024.0,4.92,0,a2,b0,c30,d2,NW,i0,150.0
-7,2.0,1023.0,12.07,0,a0,b2,c1,d10,NW,i0,169.0
17,31.0,1006.0,52.31,0,a0,b7,c16,d18,SE,i0,127.0
20,31.0,1006.0,1.79,0,a4,b7,c20,d12,SE,i0,138.0
-18,-8.0,1036.0,25.92,0,a2,b11,c21,d8,NE,i0,31.0
-2,11.0,1028.0,1.79,0,a4,b10,c7,d12,cv,i0,74.0
2,14.0,1005.0,2.67,0,a2,b3,c25,d9,cv,i0,48.0
20,23.0,1002.0,3.56,0,a3,b6,c18,d4,cv,i0,146.0
16,18.0,1013.0,1.34,0,a0,b5,c10,d3,cv,i0,72.0
-4,20.0,1019.0,39.33,0,a4,b3,c14,d15,SE,i0,54.0
-5,0.0,1020.0,9.39,0,a0,b10,c28,d8,NW,i0,144.0
16,19.0,1012.0,14.76,0,a0,b9,c5,d18,SE,i0,320.0
12,15.0,1015.0,6.26,0,a3,b8,c10,d7,NW,i0,35.0
-4,1.0,1032.0,3.56,0,a4,b10,c6,d4,cv,i0,76.0
23,24.0,1009.0,10.73,0,a2,b7,c2,d1,SE,i0,77.0
24,24.0,1000.0,21.45,9,a2,b6,c20,d18,NE,i0,95.0
-15,-2.0,1033.0,12.96,0,a0,b0,c19,d17,NW,i0,22.0
15,28.0,1014.0,4.92,0,a0,b7,c26,d11,NE,i0,46.0
11,32.0,1006.0,4.02,0,a0,b5,c23,d18,SE,i0,57.0
16,18.0,1011.0,2.68,0,a3,b8,c9,d4,SE,i0,106.0
-5,22.0,999.0,17.88,0,a2,b3,c26,d10,NW,i0,99.0
21,22.0,1006.0,1.79,0,a0,b6,c20,d6,NE,i0,99.0
18,19.0,1014.0,37.12,0,a1,b8,c12,d1,SE,i0,113.0
14,19.0,1008.0,3.58,0,a4,b5,c9,d4,SE,i0,58.0
6,15.0,1011.0,1.79,0,a2,b4,c24,d5,NE,i0,48.0
-5,8.0,1017.0,0.89,0,a2,b3,c5,d4,SE,i0,24.0
-13,-5.0,1019.0,6.71,0,a3,b11,c9,d5,NW,i0,44.0
-19,0.0,1031.0,1.78,0,a4,b0,c27,d9,cv,i0,31.0
18,32.0,1003.0,1.79,0,a2,b5,c29,d12,NW,i0,36.0
22,26.0,1000.0,2.67,0,a3,b6,c28,d5,cv,i0,72.0
-4,18.0,1016.0,3.57,0,a1,b3,c11,d10,cv,i0,88.0
-21,-12.0,1033.0,8.05,0,a1,b0,c19,d6,NW,i0,20.0
13,21.0,1015.0,0.89,0,a0,b4,c26,d3,NE,i0,92.0
-17,12.0,1023.0,57.22,0,a1,b2,c8,d18,NW,i0,12.0
13,16.0,1015.0,1.79,0,a1,b9,c11,d21,SE,i0,239.0
-6,3.0,1024.0,1.79,0,a0,b2,c2,d0,NW,i0,109.0
1,9.0,1009.0,0.89,0,a0,b4,c0,d2,cv,i0,66.0
-15,0.0,1032.0,80.02,0,a4,b11,c6,d23,NW,i0,17.0
23,28.0,1005.0,30.85,0,a1,b7,c4,d19,SE,i0,175.0
-22,5.0,1029.0,5.36,0,a4,b0,c14,d15,cv,i0,48.0
6,26.0,1013.0,12.07,0,a0,b4,c24,d10,NW,i0,33.0
-7,13.0,1029.0,22.36,0,a1,b9,c23,d11,NW,i0,8.0
21,29.0,1005.0,19.67,0,a0,b6,c16,d19,SE,i0,130.0
12,23.0,1014.0,3.13,0,a1,b4,c22,d11,SE,i0,200.0
24,26.0,1010.0,53.21,0,a0,b6,c23,d4,SE,i0,105.0
12,20.0,995.0,0.89,0,a2,b5,c11,d0,cv,i0,60.0
-20,-15.0,1028.0,4.02,0,a0,b1,c3,d7,NW,i0,27.0
22,25.0,1004.0,3.58,0,a3,b5,c28,d19,NE,i0,125.0
4,30.0,997.0,4.92,0,a2,b5,c10,d11,SE,i0,13.0
7,27.0,1013.0,3.13,0,a3,b7,c30,d10,NW,i0,19.0
-11,5.0,1023.0,8.5,0,a0,b10,c21,d10,NW,i0,46.0
6,9.0,1016.0,25.93,0,a1,b10,c17,d8,NW,i0,89.0
17,26.0,999.0,46.48,0,a2,b5,c7,d22,SE,i0,69.0
23,24.0,1004.0,8.05,2,a1,b6,c0,d9,SE,i0,82.0
5,22.0,1011.0,27.7,0,a4,b4,c7,d17,SE,i0,74.0
-3,1.0,1020.0,1.79,0,a0,b2,c14,d3,SE,i0,220.0
-16,10.0,1015.0,81.81,0,a4,b0,c0,d17,NW,i0,26.0
16,22.0,1012.0,10.73,0,a2,b5,c1,d10,SE,i0,168.0
-8,-3.0,1030.0,0.89,0,a4,b11,c25,d18,NE,i0,260.0
-16,1.0,1032.0,3.13,0,a3,b0,c15,d14,NE,i0,53.0
17,24.0,1013.0,6.26,0,a4,b7,c27,d0,SE,i0,89.0
10,32.0,1014.0,0.89,0,a4,b7,c25,d11,cv,i0,17.0
3,20.0,1008.0,80.46,0,a1,b9,c14,d12,NW,i0,8.0
19,29.0,1007.0,12.97,0,a1,b7,c28,d16,SE,i0,93.0
-8,2.0,1022.0,1.79,0,a3,b2,c29,d5,NW,i0,82.0
10,10.0,1021.0,0.89,0,a1,b9,c20,d2,SE,i0,285.0
-10,5.0,1021.0,0.89,0,a4,b2,c1,d19,cv,i0,159.0
-27,-10.0,1029.0,109.05,0,a2,b11,c7,d4,NW,i0,8.0
-6,-4.0,1028.0,0.89,0,a1,b1,c8,d9,cv,i0,211.0
7,18.0,1011.0,0.89,0,a4,b8,c7,d4,cv,i0,5.0
-18,6.0,1024.0,474.73,0,a3,b10,c27,d22,NW,i0,88.0
-8,-6.0,1028.0,7.6,0,a3,b1,c21,d3,NW,i0,266.0
21,22.0,1007.0,3.58,0,a4,b7,c5,d2,NE,i0,48.0
14,21.0,1004.0,4.92,0,a3,b4,c30,d7,SE,i0,87.0
22,23.0,1007.0,0.89,0,a4,b6,c4,d6,NE,i0,149.0
0,25.0,1003.0,8.94,0,a0,b4,c6,d11,NW,i0,165.0
12,13.0,1016.0,1.78,0,a0,b9,c6,d7,NE,i0,388.0
-20,-4.0,1022.0,18.33,0,a1,b0,c9,d22,SE,i0,115.0
24,27.0,1011.0,3.58,0,a2,b8,c0,d9,SE,i0,202.0
4,22.0,1017.0,21.9,0,a4,b8,c14,d21,SE,i0,25.0
-4,-1.0,1023.0,266.56,0,a0,b10,c15,d4,NW,i0,191.0
-21,1.0,1023.0,132.32,0,a3,b11,c9,d23,NW,i0,13.0
22,25.0,1009.0,25.49,0,a2,b7,c26,d20,SE,i0,43.0
13,13.0,1018.0,13.41,6,a0,b9,c23,d6,NW,i0,234.0
13,15.0,1013.0,2.68,0,a0,b4,c14,d3,NW,i0,237.0
1,20.0,1015.0,3.13,0,a1,b3,c21,d13,cv,i0,34.0
16,18.0,1015.0,4.92,4,a3,b8,c3,d23,NW,i0,67.0
-2,16.0,1025.0,1.78,0,a1,b9,c16,d10,cv,i0,11.0
-18,1.0,1033.0,45.59,0,a2,b0,c0,d13,NE,i0,17.0
22,23.0,1001.0,1.79,0,a1,b6,c2,d5,NW,i0,224.0
17,34.0,1006.0,4.02,0,a2,b6,c15,d15,SE,i0,62.0
0,16.0,1019.0,10.28,0,a0,b3,c19,d19,SE,i0,76.0
-13,1.0,1013.0,34.42,0,a2,b2,c5,d3,NW,i0,20.0
18,22.0,1008.0,2.68,0,a4,b6,c25,d5,NE,i0,146.0
-5,10.0,1021.0,1.79,0,a2,b2,c25,d10,NE,i0,131.0
-15,-2.0,1034.0,210.99,0,a1,b10,c22,d7,NW,i0,9.0
10,18.0,1018.0,36.66,0,a3,b4,c14,d23,SE,i0,39.0
-7,-2.0,1027.0,11.18,0,a1,b11,c2,d8,NE,i0,36.0
19,21.0,1006.0,3.13,4,a4,b7,c3,d15,NE,i0,6.0
25,26.0,1006.0,2.68,0,a2,b6,c26,d12,cv,i0,91.0
-17,1.0,1014.0,50.06,0,a2,b2,c5,d5,NW,i0,12.0
11,15.0,1015.0,4.02,0,a4,b9,c18,d1,cv,i0,405.0
17,29.0,1002.0,1.78,0,a4,b6,c7,d19,SE,i0,10.0
19,28.0,1001.0,40.22,0,a1,b6,c4,d2,SE,i0,86.0
0,13.0,1005.0,38.0,0,a3,b2,c7,d16,SE,i0,145.0
9,24.0,1003.0,137.24,0,a1,b4,c30,d19,NW,i0,24.0
14,15.0,1023.0,1.79,14,a1,b8,c9,d16,NW,i0,24.0
6,23.0,1019.0,27.26,0,a4,b8,c28,d13,NE,i0,13.0
-18,4.0,1023.0,42.02,0,a0,b1,c27,d14,NE,i0,14.0
-10,18.0,1021.0,17.43,0,a1,b2,c28,d19,SE,i0,55.0
-18,0.0,1033.0,41.13,0,a1,b11,c8,d15,NW,i0,16.0
4,18.0,1000.0,71.51,0,a0,b4,c1,d2,SE,i0,77.0
-12,-6.0,1014.0,3.57,0,a0,b1,c19,d4,NW,i0,174.0
20,21.0,1010.0,2.67,0,a1,b7,c27,d23,cv,i0,69.0
9,28.0,1009.0,51.86,0,a0,b7,c4,d11,NW,i0,15.0
-26,-10.0,1033.0,239.15,0,a2,b1,c6,d0,NW,i0,163.0
18,26.0,1007.0,38.88,0,a0,b7,c15,d23,SE,i0,68.0
21,31.0,1001.0,4.02,1,a3,b6,c28,d12,NW,i0,78.0
-11,-5.0,1025.0,6.71,0,a2,b10,c29,d0,NW,i0,167.0
19,27.0,1013.0,4.92,0,a4,b7,c18,d9,NW,i0,123.0
20,22.0,1001.0,5.81,3,a3,b6,c6,d1,NW,i0,37.0
5,17.0,1001.0,28.17,0,a1,b3,c24,d17,SE,i0,97.0
19,23.0,1010.0,8.05,0,a3,b7,c19,d1,SE,i0,57.0
-3,3.0,1024.0,0.89,0,a3,b10,c12,d3,cv,i0,124.0
-15,0.0,1026.0,108.63,0,a1,b2,c0,d23,NW,i0,37.0
13,24.0,1000.0,3.13,0,a2,b5,c7,d0,NE,i0,17.0
0,4.0,1030.0,1.79,0,a3,b9,c29,d8,NW,i0,44.0
7,24.0,1007.0,19.22,0,a1,b5,c0,d21,SE,i0,29.0
13,16.0,1007.0,18.33,0,a0,b4,c16,d23,SE,i0,84.0
-15,-6.0,1031.0,24.14,0,a3,b11,c22,d8,NW,i0,124.0
17,24.0,1002.0,44.26,0,a3,b5,c1,d20,SE,i0,127.0
22,23.0,1003.0,4.92,5,a3,b6,c14,d2,SE,i0,75.0
2,4.0,1025.0,0.89,0,a1,b9,c25,d7,NE,i0,98.0
10,30.0,1012.0,15.19,0,a2,b7,c23,d15,SE,i0,59.0
-9,6.0,1023.0,1.78,0,a4,b1,c27,d16,cv,i0,96.0
-8,3.0,1021.0,0.89,0,a2,b3,c6,d2,SE,i0,27.0
18,24.0,1011.0,2.67,0,a0,b7,c1,d8,cv,i0,100.0
19,26.0,1005.0,36.19,0,a4,b5,c18,d16,SE,i0,109.0
-5,7.0,1023.0,0.89,0,a1,b2,c29,d7,cv,i0,87.0
21,28.0,1013.0,9.84,0,a0,b7,c23,d13,SE,i0,186.0
16,25.0,1012.0,16.54,0,a1,b8,c3,d21,SE,i0,39.0
-14,-8.0,1031.0,1.78,0,a3,b11,c22,d0,NE,i0,345.0
-3,-2.0,1027.0,49.2,0,a2,b11,c12,d23,NW,i3,217.0
-9,11.0,1023.0,1.78,0,a3,b10,c11,d17,cv,i0,17.0
-5,-1.0,1024.0,38.01,0,a0,b2,c0,d11,SE,i0,44.0
-3,-3.0,1029.0,0.89,0,a1,b1,c25,d5,cv,i2,30.0
-1,15.0,1006.0,151.98,0,a0,b4,c5,d1,NW,i0,9.0
-8,10.0,1019.0,1.79,0,a3,b10,c14,d10,NW,i0,106.0
-3,1.0,1019.0,23.25,0,a3,b1,c25,d22,SE,i0,370.0
16,27.0,1014.0,3.13,0,a3,b8,c2,d16,SE,i0,109.0
7,7.0,1020.0,0.89,0,a2,b10,c2,d5,NE,i0,194.0
11,21.0,1005.0,3.13,0,a0,b4,c29,d6,NE,i0,25.0
-20,6.0,1024.0,189.98,0,a3,b11,c8,d12,NW,i0,9.0
-2,24.0,1005.0,77.32,0,a2,b4,c15,d11,NW,i0,22.0
22,24.0,1006.0,1.79,0,a4,b7,c0,d4,SE,i0,132.0
-8,-4.0,1020.0,0.89,0,a3,b11,c6,d6,cv,i0,244.0
22,25.0,1008.0,2.67,0,a4,b6,c30,d1,cv,i0,193.0
15,15.0,1014.0,0.89,0,a4,b8,c28,d2,cv,i0,97.0
1,8.0,1028.0,0.89,0,a0,b9,c17,d2,cv,i0,92.0
22,32.0,1005.0,3.57,0,a4,b6,c3,d12,cv,i0,152.0
-8,20.0,1007.0,174.31,0,a2,b3,c24,d16,NW,i0,12.0
-15,-5.0,1035.0,17.88,0,a2,b0,c0,d7,NE,i0,19.0
22,24.0,1009.0,29.07,0,a2,b7,c26,d22,SE,i0,54.0
15,23.0,1014.0,12.08,0,a3,b8,c1,d19,SE,i0,76.0
22,27.0,1004.0,21.45,0,a1,b7,c15,d9,NW,i0,17.0
-13,16.0,1024.0,111.32,0,a1,b2,c26,d12,NW,i0,29.0
-5,15.0,1027.0,1.79,0,a3,b9,c19,d10,NW,i0,24.0
8,21.0,1010.0,16.54,0,a3,b7,c29,d1,NE,i0,8.0
17,22.0,1006.0,4.92,0,a4,b8,c3,d23,SE,i0,52.0
-9,-2.0,1023.0,0.89,0,a2,b10,c28,d19,SE,i0,80.0
-7,2.0,1029.0,1.78,0,a1,b1,c19,d10,cv,i0,156.0
-13,-8.0,1031.0,3.13,0,a3,b11,c22,d1,NW,i0,332.0
-18,9.0,1014.0,3.13,0,a0,b1,c18,d17,SE,i0,45.0
18,28.0,1005.0,4.92,0,a2,b5,c20,d10,SE,i0,165.0
7,18.0,1007.0,1.79,0,a2,b4,c16,d7,SE,i0,58.0
22,22.0,1006.0,2.67,0,a1,b7,c16,d4,NE,i0,66.0
22,24.0,1006.0,3.58,0,a0,b6,c16,d4,NW,i0,53.0
10,15.0,1004.0,0.89,0,a2,b4,c5,d3,NE,i0,70.0
22,29.0,1007.0,12.07,0,a1,b7,c29,d18,SE,i0,147.0
7,15.0,1011.0,3.13,0,a2,b4,c23,d5,NW,i0,63.0
-10,8.0,1027.0,31.29,0,a0,b2,c26,d12,SE,i0,62.0
-20,-7.0,1031.0,150.21,0,a2,b1,c16,d3,NW,i0,11.0
9,10.0,1016.0,0.89,0,a2,b9,c1,d7,NE,i0,63.0
-4,14.0,1026.0,40.68,0,a4,b9,c20,d12,SE,i0,38.0
-11,0.0,1027.0,6.71,0,a4,b10,c21,d5,NW,i0,10.0
23,28.0,999.0,27.72,0,a3,b6,c29,d23,SE,i0,96.0
0,3.0,1021.0,2.68,0,a0,b10,c4,d4,NW,i0,70.0
19,23.0,1013.0,5.34,0,a0,b8,c4,d9,cv,i0,170.0
-20,-2.0,1032.0,57.65,0,a4,b0,c17,d1,NW,i0,19.0
-2,30.0,1001.0,8.94,0,a3,b4,c9,d13,NW,i0,14.0
-4,8.0,1026.0,1.79,0,a4,b10,c14,d16,NW,i0,227.0
21,23.0,1001.0,9.83,0,a4,b6,c2,d3,SE,i0,190.0
19,23.0,1011.0,25.49,0,a2,b5,c27,d0,SE,i0,34.0
8,30.0,996.0,1.79,0,a2,b5,c11,d15,NE,i0,7.0
17,35.0,998.0,4.92,0,a3,b7,c7,d15,SE,i0,31.0
16,20.0,1011.0,2.68,0,a2,b4,c21,d4,SE,i0,75.0
13,31.0,1000.0,30.39,0,a3,b6,c15,d12,NW,i0,11.0
-10,0.0,1013.0,3.13,0,a0,b11,c7,d2,NW,i0,73.0
-5,4.0,1029.0,3.58,0,a4,b1,c23,d10,NE,i0,350.0
-8,12.0,1013.0,410.84,0,a0,b3,c27,d20,NW,i0,16.0
15,32.0,1002.0,20.56,0,a2,b5,c3,d16,SE,i0,75.0
-1,15.0,1019.0,96.11,0,a2,b8,c27,d6,NW,i0,2.0
-4,-3.0,1028.0,0.89,0,a1,b1,c9,d23,NE,i0,97.0
19,25.0,1010.0,1.79,0,a0,b7,c30,d9,SE,i0,93.0
17,29.0,1006.0,24.14,0,a4,b6,c21,d17,NW,i0,11.0
0,15.0,1033.0,14.75,0,a1,b9,c1,d9,NW,i0,23.0
-15,-6.0,1021.0,0.89,0,a0,b0,c29,d8,cv,i0,29.0
21,28.0,1000.0,0.89,0,a0,b6,c3,d1,cv,i0,94.0
4,19.0,1015.0,2.68,0,a0,b4,c10,d20,NE,i0,24.0
0,5.0,1029.0,3.58,0,a1,b9,c23,d20,NE,i0,60.0
-22,-10.0,1036.0,21.91,0,a0,b0,c10,d9,NW,i0,18.0
-7,7.0,1033.0,2.67,0,a4,b10,c6,d11,cv,i0,62.0
-16,9.0,1029.0,8.5,0,a0,b3,c13,d11,NE,i0,42.0
19,22.0,1008.0,8.5,0,a3,b8,c13,d8,NW,i0,104.0
1,14.0,1017.0,7.6,0,a2,b9,c17,d19,SE,i0,48.0
-30,6.0,1024.0,430.02,0,a3,b10,c27,d14,NW,i0,23.0
-5,16.0,1008.0,40.68,0,a3,b3,c16,d15,SE,i0,63.0
0,0.0,1020.0,0.89,0,a2,b2,c16,d23,cv,i1,120.0
19,21.0,1008.0,0.89,0,a3,b7,c21,d4,NE,i0,144.0
0,4.0,1023.0,3.56,0,a4,b9,c15,d5,cv,i0,37.0
16,20.0,1019.0,2.67,0,a4,b8,c21,d8,cv,i0,112.0
-18,-4.0,1038.0,105.48,0,a0,b2,c8,d10,NW,i0,14.0
0,7.0,1021.0,1.78,0,a4,b1,c25,d12,cv,i0,551.0
-7,-2.0,1015.0,1.79,0,a4,b0,c28,d10,SE,i0,102.0
-5,16.0,1016.0,75.11,0,a1,b4,c19,d10,NW,i0,16.0
0,20.0,1007.0,63.03,0,a1,b3,c15,d20,SE,i0,79.0
13,24.0,1011.0,27.28,0,a2,b4,c9,d21,SE,i0,204.0
8,17.0,1013.0,96.11,0,a0,b9,c1,d18,NW,i0,7.0
19,30.0,1010.0,12.97,0,a4,b7,c17,d15,SE,i0,74.0
5,15.0,1025.0,1.79,0,a1,b10,c2,d15,SE,i0,54.0
-11,-2.0,1018.0,1.79,0,a0,b11,c2,d18,NE,i0,88.0
-23,2.0,1023.0,49.61,0,a2,b1,c7,d15,NW,i0,11.0
-15,-5.0,1032.0,0.89,0,a2,b0,c0,d20,SE,i0,72.0
1,8.0,1013.0,44.7,0,a3,b3,c16,d1,SE,i0,48.0
-2,5.0,1028.0,92.09,0,a3,b9,c24,d4,NW,i0,40.0
13,31.0,1001.0,8.04,0,a4,b6,c10,d9,NE,i0,18.0
-2,-1.0,1029.0,0.45,0,a2,b2,c1,d23,cv,i0,151.0
17,19.0,1011.0,1.79,0,a0,b7,c27,d3,NW,i0,48.0
19,24.0,1014.0,14.31,0,a2,b8,c8,d19,SE,i0,90.0
-6,0.0,1020.0,0.89,0,a0,b10,c23,d5,cv,i0,181.0
14,24.0,1006.0,1.78,0,a0,b5,c26,d8,cv,i0,133.0
-3,21.0,1014.0,76.44,0,a2,b9,c8,d16,NW,i0,11.0
16,20.0,1011.0,4.47,0,a2,b4,c21,d5,SE,i0,90.0
-4,-1.0,1019.0,0.89,0,a0,b10,c8,d23,NW,i0,140.0
-7,4.0,1029.0,0.45,0,a4,b10,c14,d9,cv,i0,52.0
-6,14.0,1018.0,31.75,0,a2,b10,c6,d12,NW,i0,48.0
3,8.0,1014.0,2.67,0,a1,b10,c10,d20,cv,i0,197.0
-7,4.0,1019.0,40.68,0,a2,b3,c0,d2,SE,i0,55.0
-11,-7.0,1017.0,11.62,0,a3,b0,c0,d2,NW,i0,32.0
14,22.0,1015.0,0.89,1,a0,b4,c30,d20,cv,i0,61.0
12,28.0,1009.0,1.79,0,a1,b5,c4,d10,SE,i0,126.0
-7,-7.0,1024.0,0.89,0,a2,b11,c1,d2,SE,i0,132.0
16,18.0,1009.0,8.05,1,a0,b4,c27,d23,SE,i0,168.0
14,27.0,1014.0,4.92,0,a3,b8,c10,d13,SE,i0,90.0
-17,-13.0,1027.0,3.13,0,a0,b0,c8,d1,NW,i0,159.0
4,21.0,1015.0,26.83,0,a0,b4,c11,d19,SE,i0,38.0
-22,-9.0,1038.0,3.13,0,a3,b1,c6,d19,NE,i0,24.0
-11,-3.0,1016.0,2.68,0,a4,b0,c22,d23,NW,i0,335.0
19,21.0,1008.0,1.79,0,a0,b7,c29,d3,NW,i0,100.0
2,21.0,1015.0,3.13,0,a4,b3,c20,d22,NW,i0,66.0
14,28.0,1004.0,26.37,0,a4,b5,c3,d19,SE,i0,53.0
-5,24.0,1017.0,12.07,0,a3,b8,c24,d16,SE,i0,8.0
-15,-7.0,1026.0,0.45,0,a4,b11,c5,d4,cv,i0,84.0
2,14.0,1013.0,0.89,0,a4,b3,c6,d22,NE,i0,147.0
15,22.0,1014.0,1.78,0,a3,b8,c21,d14,cv,i0,107.0
17,19.0,998.0,0.89,0,a1,b5,c6,d4,NE,i0,201.0
20,23.0,1001.0,1.79,0,a3,b5,c24,d10,NE,i0,150.0
2,24.0,998.0,12.07,0,a2,b3,c25,d16,SE,i0,62.0
5,9.0,1022.0,22.35,9,a1,b9,c22,d14,NW,i0,11.0
24,28.0,1005.0,22.79,0,a2,b7,c6,d20,SE,i0,73.0
6,22.0,1013.0,58.1,0,a1,b4,c22,d22,SE,i0,46.0
-23,-3.0,1035.0,84.04,0,a2,b0,c19,d16,NE,i0,13.0
18,20.0,1011.0,2.67,0,a2,b7,c25,d5,cv,i0,174.0
6,11.0,1027.0,1.79,0,a4,b9,c4,d22,NW,i0,43.0
-19,-8.0,1036.0,2.68,0,a1,b11,c15,d20,cv,i0,53.0
