laufkont,laufzeit,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,kredit
a0,18,c2,d0,4380,f1,g2,h2,i2,j0,k3,l2,35,n2,o1,p0,q1,r0,s1,t1,u1
a3,14,c3,d0,802,f0,g2,h3,i2,j0,k1,l2,27,n2,o1,p1,q1,r1,s0,t1,u1
a3,21,c2,d8,1572,f3,g4,h3,i1,j0,k3,l0,36,n0,o1,p0,q1,r1,s0,t1,u1
a1,48,c1,d8,3566,f1,g3,h3,i2,j0,k1,l2,30,n2,o1,p0,q2,r1,s0,t1,u1
a3,24,c2,d3,1278,f0,g4,h3,i2,j0,k0,l0,36,n2,o1,p0,q3,r1,s1,t1,u1
a3,6,c0,d3,426,f0,g4,h3,i3,j0,k3,l2,39,n2,o1,p0,q1,r1,s0,t1,u1
a3,39,c2,d1,8588,f1,g4,h3,i2,j0,k1,l2,45,n2,o1,p0,q3,r1,s1,t1,u1
a0,30,c2,d1,3857,f0,g2,h3,i0,j0,k3,l1,40,n2,o1,p0,q3,r1,s1,t1,u1
a1,12,c2,d0,685,f0,g3,h1,i3,j0,k2,l2,25,n0,o1,p0,q1,r1,s0,t1,u0
a0,24,c2,d3,1603,f0,g4,h3,i1,j0,k3,l2,55,n2,o1,p0,q2,r1,s0,t1,u1
a3,21,c2,d2,2241,f0,g4,h3,i2,j0,k1,l0,50,n2,o1,p1,q2,r1,s0,t1,u1
a0,24,c2,d3,2384,f0,g4,h3,i2,j0,k3,l0,64,n0,o0,p0,q1,r1,s0,t1,u1
a3,4,c2,d2,601,f0,g1,h0,i1,j0,k2,l0,23,n2,o0,p0,q1,r0,s0,t1,u1
a3,39,c2,d1,2569,f2,g2,h3,i2,j0,k3,l2,24,n2,o1,p0,q2,r1,s0,t1,u1
a3,15,c4,d3,1316,f2,g2,h1,i3,j0,k1,l1,47,n2,o1,p1,q1,r1,s0,t1,u1
a3,60,c2,d0,10366,f0,g4,h1,i2,j0,k3,l1,42,n2,o1,p0,q3,r1,s1,t1,u1
a3,18,c2,d8,1568,f1,g2,h2,i1,j0,k3,l1,24,n2,o0,p0,q1,r1,s0,t1,u1
a3,18,c4,d3,629,f2,g4,h3,i2,j0,k2,l1,32,n0,o1,p1,q3,r1,s1,t1,u1
a3,6,c1,d3,1750,f2,g4,h1,i2,j0,k3,l1,45,n0,o1,p0,q1,r0,s0,t1,u1
a3,24,c2,d1,3488,f1,g3,h2,i1,j0,k3,l2,23,n2,o1,p0,q2,r1,s0,t1,u1
a3,18,c4,d3,1800,f0,g2,h3,i2,j0,k1,l2,24,n2,o1,p1,q2,r1,s0,t1,u1
a3,24,c3,d2,4151,f1,g2,h1,i2,j0,k2,l1,35,n2,o1,p1,q2,r1,s0,t1,u1
a1,15,c2,d5,2631,f1,g2,h2,i1,j0,k1,l0,25,n2,o1,p0,q1,r1,s0,t1,u1
a3,21,c2,d1,5248,f4,g2,h0,i2,j0,k2,l2,26,n2,o1,p0,q2,r1,s0,t1,u1
a1,18,c3,d0,2899,f4,g4,h3,i2,j0,k3,l2,43,n2,o1,p0,q2,r0,s0,t1,u1
a1,18,c3,d5,6204,f0,g2,h1,i2,j0,k3,l0,44,n2,o1,p0,q1,r0,s1,t1,u1
a3,12,c2,d3,804,f0,g4,h3,i2,j0,k3,l2,38,n2,o1,p0,q2,r1,s0,t1,u1
a3,36,c2,d3,3595,f0,g4,h3,i2,j0,k1,l2,28,n2,o1,p0,q2,r1,s0,t1,u1
a3,36,c4,d1,5711,f3,g4,h3,i2,j0,k1,l2,38,n2,o1,p1,q3,r1,s1,t1,u1
a2,15,c2,d8,2687,f0,g3,h1,i2,j0,k3,l1,26,n2,o0,p0,q2,r1,s1,t1,u1
a0,15,c3,d2,3643,f0,g4,h0,i1,j0,k3,l1,27,n2,o1,p1,q1,r1,s0,t1,u1
a3,10,c4,d2,2146,f0,g1,h0,i1,j0,k2,l0,23,n2,o0,p1,q2,r1,s0,t1,u1
a0,10,c2,d3,2315,f0,g4,h2,i2,j0,k3,l0,52,n2,o1,p0,q1,r1,s0,t1,u1
a3,5,c2,d8,3448,f0,g3,h0,i2,j0,k3,l0,74,n2,o1,p0,q1,r1,s0,t1,u1
a3,15,c2,d2,2708,f0,g1,h1,i2,j0,k2,l1,27,n0,o1,p1,q1,r1,s0,t1,u1
a3,11,c4,d0,1393,f0,g1,h3,i1,j0,k3,l2,35,n2,o1,p1,q3,r1,s0,t1,u1
a2,10,c2,d2,1275,f0,g1,h3,i1,j0,k1,l1,23,n2,o1,p0,q2,r1,s0,t1,u1
a3,9,c2,d2,1313,f0,g4,h0,i2,j0,k3,l2,20,n2,o1,p0,q2,r1,s0,t1,u1
a3,12,c2,d3,1493,f0,g1,h3,i1,j0,k2,l2,34,n2,o1,p0,q2,r0,s0,t1,u1
a3,22,c2,d3,2675,f2,g4,h2,i2,j0,k3,l2,40,n2,o1,p0,q2,r1,s0,t1,u1
a1,9,c2,d3,2118,f0,g2,h1,i2,j0,k1,l0,37,n2,o1,p0,q1,r0,s0,t1,u1
a3,36,c2,d0,909,f2,g4,h3,i2,j0,k3,l1,36,n2,o1,p0,q2,r1,s0,t1,u1
a3,12,c4,d2,1258,f0,g1,h1,i1,j0,k3,l1,22,n2,o0,p1,q1,r1,s0,t1,u1
a3,15,c1,d3,1569,f1,g4,h3,i2,j0,k3,l2,34,n0,o1,p0,q1,r0,s0,t1,u1
a3,6,c2,d1,1236,f2,g2,h1,i2,j0,k3,l1,50,n2,o0,p0,q2,r1,s0,t1,u1
a3,36,c3,d2,7678,f2,g3,h1,i1,j0,k3,l2,40,n2,o1,p1,q2,r1,s1,t1,u1
a3,6,c2,d5,660,f2,g3,h1,i3,j0,k3,l0,23,n2,o0,p0,q1,r1,s0,t1,u1
a3,24,c2,d2,2835,f2,g4,h2,i2,j0,k3,l1,53,n2,o1,p0,q2,r1,s0,t1,u1
a3,24,c2,d1,2670,f0,g4,h3,i2,j0,k3,l2,35,n2,o1,p0,q3,r1,s1,t1,u1
a3,12,c1,d7,3447,f2,g2,h3,i1,j0,k2,l0,35,n2,o1,p0,q1,r0,s0,t1,u1
a3,15,c2,d3,3568,f0,g4,h3,i1,j0,k1,l2,54,n0,o0,p0,q3,r1,s1,t1,u1
a1,21,c4,d8,3652,f0,g3,h1,i2,j0,k2,l1,27,n2,o1,p1,q2,r1,s0,t1,u1
a0,24,c2,d3,3660,f0,g2,h1,i1,j0,k3,l2,28,n2,o1,p0,q2,r1,s0,t1,u1
a2,9,c2,d3,1126,f1,g4,h1,i0,j0,k3,l0,49,n2,o1,p0,q2,r1,s0,t1,u1
a2,6,c3,d3,683,f0,g1,h1,i1,j0,k0,l1,29,n0,o1,p0,q2,r1,s0,t1,u1
a2,12,c2,d2,2251,f0,g2,h0,i1,j0,k1,l2,46,n2,o1,p0,q1,r1,s0,t1,u1
a3,12,c2,d1,4675,f4,g1,h0,i1,j0,k3,l2,20,n2,o0,p0,q2,r1,s0,t1,u1
a1,21,c3,d0,2353,f0,g2,h0,i0,j0,k3,l1,47,n2,o1,p1,q2,r1,s0,t1,u1
a0,21,c2,d3,3357,f3,g1,h3,i1,j0,k1,l2,29,n0,o1,p0,q2,r1,s0,t1,u1
a3,6,c2,d0,672,f0,g0,h0,i1,j0,k3,l0,54,n2,o1,p0,q0,r1,s1,t1,u1
a0,6,c4,d3,338,f2,g4,h3,i2,j0,k3,l2,52,n2,o1,p1,q2,r1,s0,t1,u1
a3,9,c2,d3,2697,f0,g2,h0,i2,j0,k1,l0,32,n2,o1,p0,q2,r0,s0,t1,u1
a3,9,c2,d0,2507,f2,g4,h1,i2,j0,k3,l3,51,n2,o2,p0,q1,r1,s0,t1,u1
a3,15,c3,d3,1478,f0,g2,h3,i3,j0,k2,l0,33,n0,o1,p1,q2,r1,s0,t1,u1
a3,12,c4,d6,3565,f4,g1,h1,i2,j0,k0,l1,37,n2,o1,p1,q1,r0,s0,t1,u1
a3,15,c2,d2,2221,f2,g2,h1,i1,j0,k3,l2,20,n2,o0,p0,q2,r1,s0,t1,u1
a3,6,c4,d3,1898,f4,g2,h0,i2,j0,k1,l0,34,n2,o1,p1,q1,r0,s0,t1,u1
a1,6,c3,d8,1449,f1,g4,h0,i0,j0,k1,l2,31,n0,o1,p1,q2,r0,s0,t1,u1
a3,15,c3,d2,960,f3,g3,h2,i1,j0,k1,l1,30,n2,o1,p1,q2,r1,s0,t1,u1
a3,36,c2,d1,8133,f0,g2,h0,i1,j0,k1,l1,30,n0,o1,p0,q2,r1,s0,t1,u1
a3,9,c2,d2,2301,f1,g1,h1,i1,j0,k3,l1,22,n2,o0,p0,q2,r1,s0,t1,u1
a3,6,c3,d8,1743,f1,g2,h0,i2,j0,k1,l0,34,n2,o1,p1,q1,r1,s0,t1,u1
a1,12,c2,d2,983,f3,g1,h0,i1,j0,k3,l0,19,n2,o0,p0,q1,r1,s0,t1,u1
a3,18,c3,d3,2320,f0,g0,h1,i3,j0,k2,l0,34,n2,o1,p1,q2,r1,s0,t1,u1
a0,12,c1,d7,339,f0,g4,h3,i3,j0,k0,l2,45,n0,o1,p0,q1,r1,s0,t1,u1
a2,24,c2,d3,5152,f0,g3,h3,i2,j0,k1,l2,25,n0,o1,p0,q2,r1,s0,t1,u1
a2,24,c2,d2,3749,f0,g1,h1,i1,j0,k3,l2,26,n2,o1,p0,q2,r1,s0,t1,u1
a3,9,c4,d3,3074,f4,g2,h0,i2,j0,k1,l0,33,n2,o1,p1,q2,r0,s0,t1,u1
a2,9,c2,d3,745,f0,g2,h2,i1,j0,k1,l0,28,n2,o1,p0,q1,r1,s0,t1,u0
a3,24,c2,d0,1469,f1,g4,h3,i3,j0,k3,l0,41,n2,o0,p0,q1,r1,s0,t1,u1
a0,6,c2,d2,1374,f0,g2,h0,i2,j0,k1,l0,36,n0,o1,p0,q1,r1,s1,t1,u1
a3,6,c1,d0,783,f4,g2,h0,i2,j2,k1,l0,26,n1,o1,p0,q1,r0,s0,t1,u1
a0,21,c2,d3,2606,f0,g1,h3,i1,j0,k3,l1,28,n2,o0,p0,q3,r1,s1,t1,u1
a3,54,c0,d1,9436,f4,g2,h1,i2,j0,k1,l1,39,n2,o1,p0,q1,r0,s0,t1,u1
a3,12,c4,d3,930,f4,g4,h3,i2,j0,k3,l0,65,n2,o1,p3,q2,r1,s0,t1,u1
a3,48,c4,d1,2751,f4,g4,h3,i2,j0,k2,l2,38,n2,o1,p1,q2,r0,s1,t1,u1
a3,6,c4,d0,250,f3,g2,h1,i1,j0,k1,l0,41,n0,o1,p1,q1,r1,s0,t1,u1
a1,24,c2,d0,1201,f0,g1,h3,i2,j0,k0,l1,26,n2,o1,p0,q2,r1,s0,t1,u1
a0,6,c2,d0,662,f0,g1,h2,i2,j0,k3,l0,41,n2,o1,p0,q1,r0,s1,t1,u1
a3,15,c2,d1,1300,f4,g4,h3,i2,j0,k3,l3,45,n0,o2,p0,q2,r0,s0,t1,u1
a3,24,c1,d8,1559,f0,g3,h3,i2,j0,k3,l2,40,n0,o1,p0,q2,r1,s1,t1,u1
a2,12,c2,d3,3016,f0,g2,h2,i3,j0,k0,l2,24,n2,o1,p0,q2,r1,s0,t1,u1
a3,15,c4,d3,1360,f0,g2,h3,i2,j0,k1,l1,31,n2,o1,p1,q2,r1,s0,t1,u1
a3,6,c0,d0,1204,f1,g2,h3,i2,j0,k0,l3,35,n0,o0,p0,q2,r1,s0,t0,u1
a3,10,c2,d0,1597,f2,g2,h2,i2,j0,k1,l3,40,n2,o0,p0,q1,r0,s0,t0,u1
a3,12,c2,d3,2073,f1,g2,h3,i1,j1,k1,l0,28,n2,o1,p0,q2,r1,s0,t1,u1
a3,11,c2,d8,2142,f3,g4,h0,i0,j0,k1,l0,28,n2,o1,p0,q2,r1,s1,t1,u1
a0,10,c4,d2,2132,f4,g1,h1,i1,j1,k2,l0,27,n2,o0,p1,q2,r1,s0,t0,u1
a3,10,c2,d0,1546,f0,g2,h2,i2,j0,k1,l0,31,n2,o1,p0,q1,r0,s0,t0,u1
a3,24,c4,d0,1287,f3,g4,h3,i1,j0,k3,l0,37,n2,o1,p1,q2,r1,s1,t1,u1
a3,10,c2,d0,1418,f1,g2,h2,i2,j0,k1,l0,35,n2,o0,p0,q1,r1,s0,t0,u1
a2,6,c4,d0,1343,f0,g4,h0,i2,j0,k3,l0,46,n2,o1,p1,q2,r0,s0,t0,u1
a3,18,c2,d0,2662,f4,g3,h3,i2,j0,k2,l1,32,n2,o1,p0,q2,r1,s0,t0,u1
a3,18,c4,d3,6070,f0,g4,h2,i2,j0,k3,l2,33,n2,o1,p1,q2,r1,s1,t1,u1
a3,24,c4,d6,1927,f4,g2,h2,i1,j0,k1,l2,33,n2,o1,p1,q2,r1,s1,t1,u1
a3,18,c4,d3,2404,f0,g2,h1,i1,j0,k1,l2,26,n2,o1,p1,q2,r1,s0,t1,u1
a3,6,c4,d3,1554,f0,g3,h0,i1,j0,k1,l2,24,n2,o0,p1,q2,r1,s1,t1,u1
a3,22,c2,d0,1283,f4,g3,h3,i1,j0,k3,l1,25,n2,o0,p0,q2,r1,s0,t1,u1
a3,24,c3,d0,717,f4,g4,h3,i3,j0,k3,l2,54,n2,o1,p1,q2,r1,s1,t1,u1
a0,24,c2,d2,1747,f0,g1,h3,i2,j1,k0,l1,24,n2,o1,p0,q1,r1,s0,t0,u1
a0,9,c4,d5,1288,f1,g4,h2,i2,j2,k3,l0,48,n2,o1,p1,q2,r0,s0,t0,u1
a0,10,c4,d0,1038,f0,g3,h3,i2,j1,k2,l1,49,n2,o1,p1,q2,r1,s1,t1,u1
a3,10,c2,d1,2848,f1,g2,h0,i2,j1,k1,l0,32,n2,o1,p0,q2,r0,s0,t1,u1
a3,12,c2,d1,1413,f3,g3,h2,i2,j0,k1,l1,55,n2,o1,p0,q2,r1,s0,t0,u1
a3,30,c4,d3,3077,f4,g4,h2,i2,j0,k1,l2,40,n2,o1,p1,q2,r0,s1,t1,u1
a0,24,c1,d1,3632,f0,g2,h0,i1,j2,k3,l2,22,n0,o0,p0,q2,r1,s0,t0,u1
a3,18,c4,d1,3229,f4,g0,h1,i2,j0,k3,l3,38,n2,o1,p0,q3,r1,s1,t1,u1
a3,9,c2,d0,3577,f1,g2,h0,i2,j2,k1,l0,26,n2,o0,p0,q2,r0,s0,t0,u1
a3,12,c4,d0,682,f1,g3,h3,i1,j0,k2,l2,51,n2,o1,p1,q2,r1,s1,t1,u1
a3,10,c2,d3,1924,f0,g2,h0,i2,j0,k3,l1,38,n2,o1,p0,q2,r1,s1,t0,u1
a3,10,c2,d6,727,f2,g4,h3,i2,j0,k3,l3,46,n2,o2,p0,q2,r1,s1,t1,u1
a2,10,c4,d0,781,f0,g4,h3,i2,j0,k3,l3,63,n2,o2,p1,q2,r1,s1,t1,u1
a0,12,c4,d0,2121,f0,g2,h3,i2,j0,k1,l1,30,n2,o1,p1,q2,r1,s0,t1,u1
a3,12,c4,d6,701,f0,g2,h3,i2,j0,k1,l2,32,n2,o1,p1,q2,r1,s0,t1,u1
a3,10,c4,d2,2069,f4,g2,h1,i3,j0,k0,l2,26,n2,o1,p1,q2,r1,s0,t0,u1
a3,24,c2,d0,1525,f3,g3,h3,i1,j0,k2,l2,34,n2,o1,p0,q2,r0,s1,t1,u1
a3,48,c4,d8,7629,f4,g4,h3,i0,j0,k1,l2,46,n0,o1,p1,q3,r0,s0,t1,u1
a0,12,c4,d0,3499,f0,g2,h2,i1,j1,k1,l0,29,n2,o1,p1,q2,r1,s0,t1,u0
a3,6,c2,d3,1346,f1,g4,h1,i2,j0,k3,l3,42,n0,o2,p0,q2,r0,s1,t1,u1
a3,36,c4,d1,10477,f4,g4,h1,i2,j0,k3,l3,42,n2,o2,p1,q2,r1,s0,t1,u1
a0,24,c2,d1,2924,f0,g2,h2,i2,j2,k3,l3,63,n0,o1,p0,q2,r0,s1,t1,u1
a3,10,c4,d0,1231,f0,g4,h2,i2,j0,k3,l0,32,n2,o1,p1,q1,r0,s0,t0,u1
a2,18,c2,d0,1961,f0,g4,h2,i1,j0,k1,l2,23,n2,o1,p0,q3,r1,s0,t1,u1
a3,15,c4,d0,5045,f4,g4,h0,i1,j0,k3,l2,59,n2,o1,p0,q2,r1,s1,t1,u1
a3,12,c4,d0,1255,f0,g4,h3,i2,j0,k3,l0,61,n2,o1,p1,q1,r1,s0,t1,u1
a0,12,c2,d2,1858,f0,g1,h3,i1,j0,k0,l2,22,n2,o0,p0,q2,r1,s0,t1,u1
a3,6,c4,d2,1221,f4,g2,h0,i3,j0,k1,l1,27,n2,o1,p1,q2,r1,s0,t1,u1
a3,9,c2,d2,1388,f0,g2,h3,i1,j0,k1,l0,26,n2,o0,p0,q2,r1,s0,t1,u1
a3,12,c2,d3,2279,f4,g2,h3,i2,j0,k3,l3,37,n2,o2,p0,q2,r1,s1,t1,u1
a3,12,c0,d2,2759,f0,g4,h1,i2,j0,k3,l1,34,n2,o1,p1,q2,r1,s0,t1,u1
a2,24,c2,d3,1258,f2,g2,h2,i1,j0,k2,l2,57,n2,o1,p0,q1,r1,s0,t1,u1
a1,12,c0,d7,1410,f0,g2,h1,i2,j0,k1,l0,31,n2,o1,p0,q1,r1,s1,t1,u1
a0,15,c2,d0,1403,f0,g2,h1,i1,j0,k3,l2,28,n2,o0,p0,q2,r1,s0,t1,u1
a0,24,c2,d2,3021,f0,g2,h1,i0,j0,k1,l0,24,n2,o0,p0,q1,r1,s0,t1,u1
a0,24,c2,d8,6568,f0,g2,h1,i3,j0,k1,l2,21,n1,o1,p0,q1,r1,s0,t1,u1
a3,24,c4,d3,2578,f3,g4,h1,i2,j0,k1,l2,34,n2,o1,p0,q2,r1,s0,t1,u1
a1,24,c4,d1,7758,f3,g4,h1,i1,j0,k3,l3,29,n2,o0,p0,q2,r1,s0,t1,u1
a0,6,c2,d4,343,f0,g1,h3,i1,j0,k0,l0,27,n2,o1,p0,q2,r1,s0,t1,u1
a3,21,c3,d2,1591,f1,g3,h3,i2,j0,k2,l0,34,n2,o1,p1,q3,r1,s0,t1,u1
a0,27,c2,d3,3416,f0,g2,h2,i2,j0,k1,l2,27,n2,o1,p0,q3,r1,s0,t1,u1
a0,12,c0,d5,1108,f0,g3,h3,i2,j0,k2,l0,28,n2,o1,p1,q2,r1,s0,t1,u0
a1,27,c3,d1,5965,f0,g4,h0,i2,j0,k1,l2,30,n2,o1,p1,q3,r1,s1,t1,u1
a1,15,c2,d5,1514,f1,g2,h3,i2,j2,k1,l0,22,n2,o1,p0,q2,r1,s0,t1,u1
a3,30,c4,d3,6742,f4,g3,h1,i2,j0,k2,l1,36,n2,o1,p1,q2,r1,s0,t1,u1
a0,18,c2,d2,3650,f0,g1,h0,i1,j0,k3,l2,22,n2,o0,p0,q2,r1,s0,t1,u1
a0,21,c2,d2,3599,f0,g3,h0,i1,j0,k3,l2,26,n2,o0,p0,q1,r1,s0,t1,u1
a3,60,c4,d0,13756,f4,g4,h1,i2,j0,k3,l3,63,n0,o2,p0,q3,r1,s1,t1,u1
a1,9,c2,d0,276,f0,g2,h3,i3,j0,k3,l0,22,n2,o0,p0,q1,r1,s0,t1,u1
a3,42,c4,d2,4041,f2,g2,h3,i2,j0,k3,l0,36,n2,o1,p1,q2,r1,s1,t1,u1
a1,9,c2,d3,458,f0,g2,h3,i2,j0,k2,l0,24,n2,o1,p0,q2,r1,s0,t1,u1
a1,9,c2,d2,918,f0,g2,h3,i1,j0,k0,l1,30,n2,o1,p0,q2,r1,s0,t1,u0
a3,24,c2,d0,7393,f0,g2,h0,i2,j0,k3,l1,43,n2,o1,p0,q1,r0,s0,t1,u1
a2,10,c2,d4,1225,f0,g2,h1,i2,j0,k1,l2,37,n2,o1,p0,q2,r1,s1,t1,u1
a0,24,c2,d1,2812,f4,g4,h1,i1,j0,k3,l0,26,n2,o0,p0,q2,r1,s0,t1,u1
a3,15,c2,d1,3029,f0,g3,h1,i2,j0,k1,l2,33,n2,o1,p0,q2,r1,s0,t1,u1
a2,12,c4,d0,1480,f2,g0,h1,i2,j0,k3,l3,66,n0,o2,p2,q0,r1,s0,t1,u1
a2,6,c4,d6,1047,f0,g2,h1,i1,j0,k3,l1,50,n2,o1,p0,q1,r1,s0,t1,u1
a3,15,c4,d3,1471,f0,g2,h3,i2,j0,k3,l3,35,n2,o2,p1,q2,r1,s1,t1,u1
a3,24,c2,d2,5511,f1,g2,h3,i2,j0,k0,l2,25,n1,o1,p0,q2,r1,s0,t1,u1
a1,9,c2,d3,1206,f0,g4,h3,i1,j0,k3,l0,25,n2,o1,p0,q2,r1,s0,t1,u1
a1,24,c3,d3,6403,f0,g1,h0,i2,j0,k1,l2,33,n2,o1,p0,q2,r1,s0,t1,u1
a3,12,c2,d3,707,f0,g2,h3,i2,j0,k1,l0,30,n0,o1,p1,q2,r1,s0,t1,u1
a3,12,c3,d1,1503,f0,g2,h3,i3,j0,k3,l0,41,n2,o0,p0,q2,r1,s0,t1,u1
a1,12,c2,d0,6078,f0,g3,h1,i2,j0,k1,l2,32,n2,o1,p0,q2,r1,s0,t1,u1
a1,27,c2,d8,2528,f0,g1,h3,i1,j0,k0,l1,32,n2,o1,p0,q2,r0,s1,t1,u1
a1,12,c2,d8,1037,f1,g3,h2,i2,j0,k3,l0,39,n2,o1,p0,q1,r1,s0,t1,u1
a0,6,c2,d1,1352,f2,g0,h0,i1,j0,k1,l1,23,n2,o0,p0,q0,r1,s1,t1,u1
a3,24,c2,d3,3181,f0,g1,h3,i1,j0,k3,l1,26,n2,o1,p0,q2,r1,s1,t1,u1
a3,18,c2,d3,4594,f0,g1,h2,i2,j0,k1,l2,32,n2,o1,p0,q2,r1,s1,t1,u1
a1,48,c2,d9,5381,f4,g0,h2,i2,j0,k3,l3,40,n0,o2,p0,q0,r1,s1,t1,u1
a3,15,c2,d1,4657,f0,g2,h2,i2,j0,k1,l2,30,n2,o1,p0,q2,r1,s1,t1,u1
a1,9,c2,d8,1391,f0,g2,h1,i3,j0,k0,l0,27,n0,o1,p0,q2,r1,s1,t1,u1
a1,18,c2,d8,1913,f3,g1,h2,i3,j0,k2,l0,36,n0,o1,p0,q2,r1,s1,t1,u1
a3,42,c2,d3,7166,f4,g3,h1,i3,j0,k3,l1,29,n2,o0,p0,q2,r1,s1,t1,u1
a3,13,c2,d3,1409,f1,g0,h1,i1,j0,k3,l0,64,n2,o1,p0,q2,r1,s0,t1,u1
a3,24,c3,d8,2978,f4,g2,h3,i2,j0,k3,l0,32,n2,o1,p1,q2,r0,s1,t1,u1
a3,12,c4,d3,976,f4,g4,h3,i2,j0,k3,l2,35,n2,o1,p1,q2,r1,s0,t1,u1
a3,24,c3,d8,2375,f2,g2,h3,i2,j0,k1,l2,44,n2,o1,p1,q2,r0,s1,t1,u1
a3,12,c4,d3,522,f2,g4,h3,i2,j0,k3,l1,42,n2,o1,p1,q2,r0,s1,t1,u1
a3,28,c4,d3,2743,f0,g4,h3,i2,j0,k1,l2,29,n2,o1,p1,q2,r1,s0,t1,u1
a3,11,c4,d3,1154,f1,g0,h3,i1,j0,k3,l0,57,n2,o1,p2,q1,r1,s0,t1,u1
a3,24,c4,d1,5804,f3,g2,h3,i2,j0,k1,l0,27,n2,o1,p1,q2,r1,s0,t1,u1
a3,18,c4,d3,1169,f4,g2,h3,i2,j0,k2,l1,29,n2,o1,p1,q2,r1,s1,t1,u1
a0,15,c4,d2,1478,f0,g4,h3,i2,j0,k3,l2,44,n2,o1,p1,q2,r0,s1,t1,u1
a3,12,c2,d3,776,f0,g2,h3,i3,j0,k1,l0,28,n2,o1,p0,q2,r1,s0,t1,u1
a1,11,c4,d0,1322,f3,g2,h3,i1,j0,k3,l2,40,n2,o1,p1,q2,r1,s0,t1,u1
a1,16,c4,d0,1175,f0,g0,h1,i2,j0,k2,l2,68,n2,o2,p2,q0,r1,s1,t1,u1
a3,12,c2,d0,2133,f4,g4,h3,i1,j0,k3,l3,52,n2,o2,p0,q3,r1,s1,t1,u1
a3,15,c4,d3,1829,f0,g4,h3,i2,j0,k3,l2,46,n2,o1,p1,q2,r1,s1,t1,u1
a3,12,c4,d3,717,f0,g4,h3,i2,j0,k3,l0,52,n2,o1,p2,q2,r1,s0,t1,u1
a1,39,c3,d6,11760,f1,g3,h1,i2,j0,k2,l3,32,n2,o0,p0,q2,r1,s1,t1,u1
a1,9,c4,d6,1501,f0,g4,h1,i1,j0,k2,l2,34,n2,o1,p1,q3,r1,s1,t1,u0
a0,12,c2,d6,1200,f4,g2,h3,i1,j0,k3,l1,23,n0,o0,p0,q2,r1,s1,t1,u1
a1,9,c2,d0,3195,f4,g2,h0,i1,j0,k1,l0,33,n2,o1,p0,q1,r1,s0,t1,u1
a3,30,c4,d3,4530,f0,g3,h3,i1,j0,k3,l2,26,n2,o0,p0,q3,r1,s1,t1,u1
a3,12,c3,d5,1555,f3,g4,h3,i2,j0,k3,l3,55,n2,o2,p1,q2,r0,s0,t1,u0
a1,15,c4,d8,2326,f2,g2,h1,i2,j0,k3,l2,27,n0,o1,p0,q2,r1,s0,t1,u1
a1,18,c4,d8,1887,f4,g2,h3,i3,j0,k3,l0,28,n0,o1,p1,q2,r1,s0,t1,u1
a3,12,c4,d8,1264,f4,g4,h3,i2,j0,k3,l3,57,n2,o0,p0,q1,r1,s0,t1,u1
a3,7,c3,d3,846,f4,g4,h2,i2,j0,k3,l3,36,n2,o2,p0,q2,r1,s0,t1,u1
a3,15,c4,d6,1532,f1,g2,h3,i1,j0,k2,l2,31,n2,o1,p0,q2,r1,s0,t1,u1
a3,6,c3,d3,935,f0,g2,h2,i1,j0,k1,l0,24,n2,o1,p0,q2,r1,s0,t1,u1
a0,27,c4,d8,2442,f0,g4,h3,i2,j0,k3,l2,43,n1,o1,p3,q3,r0,s1,t1,u1
a1,18,c4,d8,3590,f0,g0,h2,i3,j0,k2,l2,40,n2,o1,p2,q0,r0,s1,t1,u1
a3,21,c4,d2,2288,f0,g1,h3,i1,j0,k3,l1,23,n2,o1,p0,q2,r1,s1,t1,u1
a3,27,c3,d8,5117,f0,g3,h2,i2,j0,k3,l2,26,n2,o1,p1,q2,r1,s0,t1,u1
a0,39,c4,d2,14179,f4,g3,h3,i2,j0,k3,l1,30,n2,o1,p1,q3,r1,s1,t1,u1
a3,15,c2,d3,1386,f4,g2,h3,i3,j0,k1,l0,40,n2,o0,p0,q2,r1,s1,t1,u1
a3,12,c4,d3,618,f0,g4,h3,i2,j0,k3,l0,56,n2,o1,p0,q2,r1,s0,t1,u1
a3,12,c2,d2,1574,f0,g2,h3,i2,j0,k1,l0,50,n2,o1,p0,q2,r1,s0,t1,u1
a3,6,c4,d3,700,f4,g4,h3,i2,j0,k3,l3,36,n2,o2,p1,q2,r1,s0,t1,u1
a3,12,c2,d3,886,f4,g2,h3,i1,j0,k1,l2,21,n2,o1,p0,q2,r1,s0,t1,u1
a3,36,c2,d1,4686,f0,g2,h1,i2,j0,k1,l3,32,n2,o2,p0,q3,r1,s1,t1,u1
a1,9,c2,d3,790,f2,g2,h3,i1,j0,k2,l0,66,n2,o1,p0,q1,r1,s0,t1,u1
a1,12,c2,d3,766,f2,g2,h3,i2,j0,k2,l0,66,n2,o1,p0,q1,r1,s0,t1,u0
a0,20,c2,d2,2212,f4,g3,h3,i2,j0,k3,l2,39,n2,o1,p0,q2,r1,s1,t1,u1
a1,10,c2,d0,7308,f0,g0,h1,i2,j0,k3,l3,70,n0,o2,p0,q3,r1,s1,t1,u1
a1,24,c4,d6,5743,f0,g1,h1,i1,j0,k3,l3,24,n2,o2,p1,q2,r1,s1,t1,u1
