laufzeit,hoehe,alter,laufkont,moral,verw,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,kredit
24,2255,54,a3,c2,d0,f4,g1,h3,i2,j0,k0,l1,n2,o1,p0,q2,r1,s0,t1,u1
12,741,22,a0,c2,d4,f1,g0,h3,i1,j0,k2,l1,n2,o1,p0,q2,r1,s0,t1,u0
36,3535,37,a3,c4,d0,f0,g3,h3,i2,j0,k3,l2,n2,o1,p1,q2,r1,s1,t1,u1
21,2606,28,a0,c2,d3,f0,g1,h3,i1,j0,k3,l1,n2,o0,p0,q3,r1,s1,t1,u1
12,1424,55,a2,c2,d2,f4,g4,h2,i1,j0,k3,l0,n2,o1,p0,q3,r1,s1,t1,u1
48,6999,34,a0,c2,d3,f0,g3,h0,i3,j2,k0,l0,n2,o1,p1,q2,r1,s1,t1,u0
10,1240,48,a2,c2,d0,f1,g4,h0,i1,j0,k3,l3,n2,o2,p0,q1,r0,s0,t1,u0
15,2360,36,a2,c4,d1,f2,g2,h1,i2,j0,k1,l2,n2,o1,p0,q2,r1,s1,t1,u1
45,4576,27,a1,c4,d1,f1,g0,h2,i2,j0,k3,l2,n2,o1,p0,q2,r1,s0,t1,u1
10,1048,23,a1,c1,d3,f0,g2,h3,i2,j0,k3,l0,n1,o1,p0,q1,r1,s0,t1,u1
24,6403,33,a1,c3,d3,f0,g1,h0,i2,j0,k1,l2,n2,o1,p0,q2,r1,s0,t1,u1
15,4657,30,a3,c2,d1,f0,g2,h2,i2,j0,k1,l2,n2,o1,p0,q2,r1,s1,t1,u1
18,2662,32,a3,c2,d0,f4,g3,h3,i2,j0,k2,l1,n2,o1,p0,q2,r1,s0,t0,u1
48,3844,34,a1,c0,d8,f1,g3,h3,i2,j0,k3,l3,n2,o2,p0,q1,r0,s0,t1,u0
12,709,57,a0,c2,d3,f0,g4,h3,i2,j0,k3,l0,n2,o1,p0,q1,r1,s0,t1,u0
4,601,23,a3,c2,d2,f0,g1,h0,i1,j0,k2,l0,n2,o0,p0,q1,r0,s0,t1,u1
20,6468,60,a1,c2,d1,f4,g0,h0,i0,j0,k3,l0,n2,o1,p0,q3,r1,s1,t1,u1
28,2743,29,a3,c4,d3,f0,g4,h3,i2,j0,k1,l2,n2,o1,p1,q2,r1,s0,t1,u1
10,1225,37,a2,c2,d4,f0,g2,h1,i2,j0,k1,l2,n2,o1,p0,q2,r1,s1,t1,u1
39,4933,25,a1,c4,d3,f0,g3,h1,i2,j2,k1,l0,n2,o1,p1,q2,r1,s0,t1,u0
24,7758,29,a1,c4,d1,f3,g4,h1,i1,j0,k3,l3,n2,o0,p0,q2,r1,s0,t1,u1
6,14896,68,a0,c2,d0,f0,g4,h0,i2,j0,k3,l3,n0,o1,p0,q3,r1,s1,t1,u0
9,2507,51,a3,c2,d0,f2,g4,h1,i2,j0,k3,l3,n2,o2,p0,q1,r1,s0,t1,u1
9,5129,74,a1,c1,d1,f0,g4,h1,i1,j0,k3,l3,n0,o2,p0,q3,r0,s1,t1,u0
60,10366,42,a3,c2,d0,f0,g4,h1,i2,j0,k3,l1,n2,o1,p0,q3,r1,s1,t1,u1
9,2799,36,a0,c4,d0,f0,g2,h1,i2,j0,k1,l0,n2,o0,p1,q2,r0,s0,t1,u1
7,2415,34,a1,c2,d3,f0,g2,h2,i2,j2,k1,l0,n2,o1,p0,q2,r1,s0,t1,u1
24,4870,53,a0,c3,d0,f0,g2,h2,i2,j0,k3,l3,n2,o2,p1,q2,r0,s0,t1,u0
9,1138,25,a0,c4,d3,f0,g2,h3,i2,j0,k3,l0,n2,o1,p1,q1,r1,s0,t1,u1
12,697,46,a0,c1,d0,f0,g1,h3,i2,j0,k1,l2,n0,o1,p1,q2,r1,s1,t1,u0
42,4041,36,a3,c4,d2,f2,g2,h3,i2,j0,k3,l0,n2,o1,p1,q2,r1,s1,t1,u1
24,1216,38,a1,c4,d3,f1,g1,h3,i2,j0,k3,l3,n0,o1,p1,q2,r0,s0,t1,u0
12,1297,23,a2,c2,d3,f0,g2,h2,i3,j0,k3,l0,n2,o0,p0,q2,r1,s0,t1,u1
48,6758,31,a0,c2,d3,f0,g2,h2,i1,j0,k1,l2,n2,o1,p0,q2,r1,s1,t1,u0
28,4006,45,a0,c2,d0,f0,g2,h2,i2,j0,k1,l2,n2,o1,p0,q1,r1,s0,t1,u0
24,3149,22,a0,c2,d2,f0,g1,h3,i2,j0,k0,l3,n0,o2,p0,q2,r1,s0,t1,u1
18,1941,35,a1,c2,d8,f3,g2,h3,i2,j0,k1,l1,n2,o1,p0,q1,r1,s1,t1,u1
18,3590,40,a1,c4,d8,f0,g0,h2,i3,j0,k2,l2,n2,o1,p2,q0,r0,s1,t1,u1
36,3711,27,a1,c2,d6,f4,g2,h1,i3,j0,k1,l2,n2,o1,p0,q2,r1,s0,t1,u1
9,458,24,a1,c2,d3,f0,g2,h3,i2,j0,k2,l0,n2,o1,p0,q2,r1,s0,t1,u1
24,1553,23,a1,c3,d3,f1,g3,h2,i1,j0,k1,l1,n2,o0,p1,q2,r1,s1,t1,u1
20,6148,31,a1,c0,d1,f1,g4,h2,i3,j0,k3,l2,n0,o1,p1,q2,r1,s1,t1,u1
11,1154,57,a3,c4,d3,f1,g0,h3,i1,j0,k3,l0,n2,o1,p2,q1,r1,s0,t1,u1
18,976,23,a0,c2,d0,f0,g1,h0,i1,j0,k1,l2,n2,o1,p0,q1,r1,s0,t1,u0
30,3077,40,a3,c4,d3,f4,g4,h2,i2,j0,k1,l2,n2,o1,p1,q2,r0,s1,t1,u1
21,2319,33,a2,c4,d6,f0,g1,h1,i0,j0,k0,l2,n2,o0,p0,q2,r1,s0,t1,u0
9,3074,33,a3,c4,d3,f4,g2,h0,i2,j0,k1,l0,n2,o1,p1,q2,r0,s0,t1,u1
48,3060,28,a1,c2,d3,f0,g3,h3,i2,j0,k3,l0,n2,o1,p1,q2,r1,s0,t1,u0
48,10297,39,a0,c2,d1,f0,g3,h3,i2,j0,k3,l3,n2,o2,p2,q2,r0,s1,t1,u0
60,10144,21,a3,c2,d3,f1,g3,h1,i1,j0,k3,l0,n2,o1,p0,q2,r1,s1,t1,u1
12,1082,48,a0,c0,d0,f0,g2,h3,i2,j0,k3,l2,n0,o1,p1,q2,r1,s0,t1,u0
15,1275,24,a0,c2,d4,f4,g2,h3,i1,j0,k1,l2,n2,o0,p0,q2,r1,s0,t1,u0
24,1333,43,a0,c3,d0,f0,g0,h3,i2,j0,k1,l0,n2,o2,p1,q2,r0,s0,t1,u0
36,7127,23,a3,c4,d2,f0,g1,h1,i1,j0,k3,l1,n2,o0,p1,q2,r1,s1,t1,u0
18,6260,28,a1,c2,d0,f0,g3,h2,i2,j0,k2,l0,n2,o0,p0,q1,r1,s0,t1,u1
6,590,26,a1,c2,d3,f0,g1,h2,i3,j0,k2,l0,n2,o1,p0,q1,r1,s0,t0,u1
24,4591,54,a3,c2,d8,f3,g2,h1,i2,j0,k2,l1,n2,o1,p2,q3,r1,s1,t1,u0
6,1449,31,a1,c3,d8,f1,g4,h0,i0,j0,k1,l2,n0,o1,p1,q2,r0,s0,t1,u1
6,1236,50,a3,c2,d1,f2,g2,h1,i2,j0,k3,l1,n2,o0,p0,q2,r1,s0,t1,u1
15,1264,25,a1,c1,d0,f1,g2,h1,i3,j0,k1,l1,n2,o0,p0,q2,r1,s0,t1,u0
12,1223,46,a1,c2,d0,f0,g4,h0,i0,j0,k0,l0,n2,o0,p1,q2,r1,s0,t1,u0
12,1185,27,a3,c4,d8,f0,g2,h2,i1,j0,k1,l0,n2,o1,p1,q2,r1,s0,t1,u1
18,12976,38,a1,c2,d1,f0,g0,h2,i1,j0,k3,l3,n2,o2,p0,q3,r1,s1,t1,u0
12,5801,49,a3,c4,d2,f4,g4,h1,i2,j0,k3,l1,n2,o0,p0,q2,r1,s1,t0,u1
15,3556,29,a3,c2,d0,f4,g2,h2,i2,j0,k1,l3,n2,o1,p0,q2,r1,s0,t1,u1
18,1056,30,a1,c4,d0,f0,g4,h2,i2,j2,k2,l0,n2,o1,p1,q2,r1,s0,t1,u0
24,2670,35,a3,c2,d1,f0,g4,h3,i2,j0,k3,l2,n2,o1,p0,q3,r1,s1,t1,u1
24,2028,30,a3,c4,d2,f0,g3,h1,i2,j0,k1,l1,n2,o1,p1,q1,r1,s0,t1,u1
42,9283,55,a1,c1,d1,f0,g0,h0,i2,j0,k1,l3,n0,o2,p0,q3,r1,s1,t1,u1
24,2463,27,a3,c4,d0,f1,g3,h3,i3,j0,k2,l1,n2,o1,p1,q2,r1,s1,t1,u1
6,1237,27,a3,c4,d3,f1,g2,h0,i1,j0,k0,l1,n2,o1,p1,q2,r1,s0,t1,u1
12,1893,29,a0,c2,d0,f0,g2,h3,i1,j2,k3,l1,n2,o1,p0,q2,r1,s1,t1,u1
18,3422,47,a3,c2,d2,f0,g4,h3,i2,j0,k3,l1,n0,o1,p2,q2,r0,s1,t1,u1
6,454,22,a1,c2,d5,f0,g1,h2,i3,j0,k0,l1,n2,o1,p0,q1,r1,s0,t1,u1
12,776,28,a3,c2,d3,f0,g2,h3,i3,j0,k1,l0,n2,o1,p0,q2,r1,s0,t1,u1
12,2171,29,a3,c2,d3,f0,g1,h1,i1,j0,k1,l2,n0,o1,p0,q2,r1,s0,t1,u1
30,4272,26,a3,c3,d8,f1,g2,h1,i2,j0,k1,l1,n2,o1,p1,q1,r1,s0,t1,u1
60,6836,63,a0,c3,d8,f0,g4,h2,i2,j0,k3,l3,n2,o1,p1,q2,r1,s1,t1,u0
36,7980,27,a3,c3,d8,f4,g1,h3,i2,j0,k3,l2,n2,o0,p1,q2,r1,s1,t1,u0
15,1433,25,a0,c4,d2,f0,g2,h3,i1,j0,k2,l1,n2,o0,p1,q2,r1,s0,t1,u1
12,1107,20,a0,c2,d3,f0,g2,h1,i2,j0,k1,l0,n2,o0,p0,q3,r0,s1,t1,u1
18,1169,29,a3,c4,d3,f4,g2,h3,i2,j0,k2,l1,n2,o1,p1,q2,r1,s1,t1,u1
18,2899,43,a1,c3,d0,f4,g4,h3,i2,j0,k3,l2,n2,o1,p0,q2,r0,s0,t1,u1
24,1413,28,a3,c2,d3,f0,g2,h3,i3,j0,k1,l1,n2,o1,p0,q2,r1,s0,t1,u1
12,958,47,a1,c4,d0,f0,g3,h1,i2,j0,k2,l0,n2,o1,p1,q1,r0,s0,t1,u1
24,3757,62,a3,c2,d0,f0,g4,h3,i1,j1,k3,l3,n2,o2,p0,q2,r1,s1,t1,u1
36,5179,29,a0,c2,d2,f0,g3,h3,i2,j0,k1,l1,n2,o1,p0,q2,r1,s0,t1,u0
15,1514,22,a1,c2,d5,f1,g2,h3,i2,j2,k1,l0,n2,o1,p0,q2,r1,s0,t1,u1
36,9857,31,a1,c3,d8,f1,g3,h0,i2,j0,k2,l1,n2,o1,p1,q1,r0,s1,t1,u1
6,1743,34,a3,c3,d8,f1,g2,h0,i2,j0,k1,l0,n2,o1,p1,q1,r1,s0,t1,u1
24,2359,33,a0,c2,d2,f1,g0,h0,i0,j0,k0,l1,n2,o1,p0,q2,r1,s0,t1,u0
24,1533,38,a3,c2,d3,f0,g1,h3,i1,j0,k2,l2,n1,o1,p0,q2,r1,s1,t1,u1
15,1386,40,a3,c2,d3,f4,g2,h3,i3,j0,k1,l0,n2,o0,p0,q2,r1,s1,t1,u1
6,1382,28,a3,c4,d3,f0,g2,h0,i1,j0,k0,l2,n2,o1,p1,q2,r1,s1,t1,u1
36,6614,34,a3,c4,d0,f0,g4,h3,i2,j0,k3,l2,n2,o1,p1,q3,r1,s1,t1,u1
24,2346,35,a3,c4,d1,f0,g3,h3,i2,j0,k2,l2,n2,o1,p1,q2,r1,s1,t1,u1
21,571,65,a0,c4,d0,f0,g4,h3,i2,j0,k3,l0,n2,o1,p1,q2,r1,s0,t1,u1
13,2101,23,a1,c2,d3,f0,g1,h1,i1,j2,k3,l1,n2,o1,p0,q1,r1,s0,t1,u1
9,2753,35,a3,c2,d3,f1,g4,h2,i2,j1,k3,l2,n2,o1,p0,q2,r1,s1,t1,u1
48,6560,24,a1,c2,d0,f1,g3,h2,i2,j0,k1,l1,n2,o1,p0,q2,r1,s0,t1,u0
60,6288,42,a1,c2,d6,f0,g2,h3,i2,j0,k3,l3,n2,o2,p0,q2,r1,s0,t1,u0
18,433,22,a3,c2,d3,f0,g0,h2,i1,j1,k3,l0,n2,o0,p0,q2,r1,s0,t1,u0
36,3990,29,a1,c1,d4,f4,g1,h2,i1,j0,k1,l3,n0,o1,p0,q0,r1,s0,t1,u1
30,7485,53,a3,c1,d1,f4,g0,h3,i1,j0,k0,l0,n0,o1,p0,q3,r1,s1,t1,u0
12,1101,27,a3,c2,d0,f0,g2,h2,i3,j0,k1,l0,n2,o1,p1,q2,r1,s1,t1,u1
13,1797,28,a0,c4,d8,f0,g1,h2,i2,j0,k0,l1,n0,o1,p1,q1,r1,s0,t1,u1
24,2424,53,a3,c4,d3,f4,g4,h3,i2,j0,k3,l1,n2,o1,p1,q2,r1,s0,t1,u1
18,3378,31,a3,c2,d1,f4,g2,h1,i2,j0,k0,l1,n2,o1,p0,q2,r1,s1,t1,u1
12,609,26,a2,c1,d8,f0,g1,h3,i1,j0,k0,l0,n0,o1,p0,q0,r1,s0,t1,u0
30,5954,38,a3,c4,d3,f0,g3,h2,i2,j1,k1,l2,n2,o1,p0,q2,r1,s0,t1,u1
13,882,23,a1,c4,d3,f0,g1,h3,i2,j2,k3,l0,n2,o1,p1,q2,r1,s0,t1,u1
24,3235,36,a3,c2,d3,f2,g4,h2,i0,j0,k1,l2,n2,o1,p0,q3,r1,s1,t1,u1
18,3850,27,a3,c4,d1,f0,g3,h2,i2,j0,k0,l2,n2,o1,p1,q2,r1,s0,t1,u1
18,2169,28,a3,c3,d8,f0,g2,h3,i3,j0,k1,l2,n2,o1,p0,q2,r1,s1,t1,u0
24,4151,35,a3,c3,d2,f1,g2,h1,i2,j0,k2,l1,n2,o1,p1,q2,r1,s0,t1,u1
30,3017,47,a2,c4,d3,f0,g4,h3,i2,j0,k3,l1,n2,o1,p0,q2,r1,s0,t1,u1
48,5096,30,a1,c4,d2,f0,g2,h1,i1,j0,k2,l2,n2,o1,p0,q3,r1,s1,t1,u0
27,5293,50,a0,c0,d8,f0,g0,h1,i2,j0,k3,l1,n2,o1,p1,q2,r1,s1,t1,u0
15,1721,36,a0,c2,d0,f0,g1,h1,i2,j0,k2,l0,n2,o1,p0,q2,r1,s0,t1,u1
24,2718,20,a1,c2,d0,f0,g2,h2,i1,j0,k3,l1,n2,o0,p0,q1,r1,s1,t1,u0
36,3446,42,a0,c2,d2,f0,g4,h3,i2,j0,k1,l2,n2,o1,p0,q2,r0,s0,t1,u0
12,795,53,a0,c2,d6,f0,g1,h3,i1,j0,k3,l1,n2,o1,p0,q2,r1,s0,t1,u0
18,4297,40,a1,c3,d2,f0,g4,h3,i0,j0,k2,l3,n2,o1,p0,q3,r1,s1,t1,u0
36,3959,30,a0,c2,d2,f0,g0,h3,i2,j0,k2,l1,n2,o1,p0,q3,r1,s1,t1,u1
6,1361,40,a0,c4,d0,f0,g1,h1,i2,j0,k3,l0,n2,o1,p0,q1,r0,s0,t0,u1
18,6761,68,a3,c2,d0,f4,g2,h1,i2,j0,k3,l2,n1,o0,p1,q2,r1,s0,t1,u0
42,3394,65,a0,c4,d5,f0,g0,h3,i2,j1,k3,l2,n2,o1,p1,q0,r1,s0,t1,u1
6,362,52,a3,c4,d0,f1,g2,h3,i1,j0,k3,l2,n2,o1,p1,q1,r1,s0,t1,u1
12,652,24,a0,c2,d2,f0,g4,h3,i1,j0,k3,l1,n2,o0,p0,q2,r1,s0,t1,u1
42,7882,45,a0,c2,d2,f0,g3,h1,i2,j2,k3,l1,n2,o2,p0,q2,r0,s0,t1,u1
60,14782,60,a1,c1,d9,f1,g4,h2,i1,j0,k3,l3,n0,o2,p1,q3,r1,s1,t1,u0
9,1337,34,a2,c0,d3,f0,g1,h3,i2,j0,k1,l2,n2,o1,p1,q3,r1,s1,t1,u0
18,2389,27,a0,c2,d3,f0,g1,h3,i1,j0,k0,l2,n1,o1,p0,q2,r1,s0,t1,u1
42,3965,34,a0,c2,d3,f0,g1,h3,i2,j0,k2,l2,n2,o1,p0,q2,r1,s0,t1,u0
12,3499,29,a0,c4,d0,f0,g2,h2,i1,j1,k1,l0,n2,o1,p1,q2,r1,s0,t1,u0
30,1715,26,a1,c2,d3,f4,g2,h3,i1,j0,k0,l2,n2,o1,p0,q2,r1,s0,t1,u1
12,983,19,a1,c2,d2,f3,g1,h0,i1,j0,k3,l0,n2,o0,p0,q1,r1,s0,t1,u1
18,1149,46,a3,c4,d3,f3,g2,h3,i2,j0,k2,l0,n2,o1,p1,q2,r1,s0,t1,u1
24,5152,25,a2,c2,d3,f0,g3,h3,i2,j0,k1,l2,n0,o1,p0,q2,r1,s0,t1,u1
14,1410,35,a1,c2,d8,f2,g4,h0,i3,j0,k1,l0,n2,o1,p0,q2,r1,s1,t1,u1
24,4169,28,a0,c2,d2,f0,g2,h3,i2,j0,k3,l1,n2,o1,p0,q2,r1,s0,t1,u1
24,929,31,a3,c2,d2,f4,g3,h3,i2,j0,k1,l2,n1,o1,p0,q2,r1,s1,t1,u1
36,9271,24,a0,c2,d0,f0,g3,h1,i2,j0,k0,l2,n2,o1,p0,q2,r1,s1,t1,u0
48,6416,59,a1,c1,d8,f0,g4,h3,i1,j0,k2,l3,n2,o0,p0,q2,r1,s0,t1,u0
48,7685,37,a0,c1,d8,f0,g3,h1,i1,j2,k3,l2,n2,o0,p0,q2,r1,s0,t1,u0
12,2279,37,a3,c2,d3,f4,g2,h3,i2,j0,k3,l3,n2,o2,p0,q2,r1,s1,t1,u1
15,6850,34,a1,c1,d0,f1,g0,h0,i2,j0,k1,l1,n1,o1,p0,q3,r0,s1,t1,u0
10,1364,64,a3,c2,d0,f0,g2,h1,i1,j0,k3,l2,n2,o1,p0,q2,r1,s1,t1,u1
15,3594,46,a3,c3,d1,f0,g1,h0,i1,j0,k1,l1,n2,o1,p1,q1,r1,s0,t1,u1
24,2924,63,a0,c2,d1,f0,g2,h2,i2,j2,k3,l3,n0,o1,p0,q2,r0,s1,t1,u1
6,1209,47,a1,c3,d0,f0,g0,h3,i2,j0,k3,l1,n2,o1,p0,q3,r1,s1,t1,u0
48,4788,26,a0,c2,d1,f0,g3,h3,i2,j0,k2,l1,n2,o1,p0,q2,r0,s0,t1,u1
12,1484,25,a1,c2,d3,f4,g2,h1,i3,j0,k0,l0,n2,o1,p0,q2,r1,s1,t1,u0
36,5371,28,a0,c4,d2,f0,g2,h2,i2,j2,k1,l1,n2,o1,p1,q2,r1,s0,t1,u1
24,2022,37,a3,c4,d0,f0,g2,h3,i1,j0,k3,l2,n2,o1,p0,q2,r1,s1,t1,u1
15,1444,23,a1,c2,d3,f4,g1,h3,i2,j0,k0,l1,n2,o1,p0,q2,r1,s0,t1,u1
18,2775,31,a3,c4,d0,f0,g3,h1,i2,j0,k1,l1,n0,o1,p1,q2,r1,s0,t1,u0
24,3777,40,a3,c4,d2,f3,g2,h3,i2,j0,k3,l0,n2,o1,p0,q2,r1,s1,t1,u1
27,5190,48,a3,c2,d5,f4,g4,h3,i2,j0,k3,l1,n2,o1,p3,q2,r0,s1,t1,u1
10,2132,27,a0,c4,d2,f4,g1,h1,i1,j1,k2,l0,n2,o0,p1,q2,r1,s0,t0,u1
12,2028,30,a1,c2,d1,f4,g2,h3,i2,j0,k1,l2,n2,o1,p0,q2,r1,s0,t1,u1
36,8086,42,a1,c3,d0,f1,g4,h1,i2,j0,k3,l2,n1,o1,p3,q3,r1,s1,t1,u0
24,3021,24,a0,c2,d2,f0,g2,h1,i0,j0,k1,l0,n2,o0,p0,q1,r1,s0,t1,u1
15,1471,35,a3,c4,d3,f0,g2,h3,i2,j0,k3,l3,n2,o2,p1,q2,r1,s1,t1,u1
6,368,38,a1,c2,d3,f4,g4,h3,i2,j0,k3,l1,n2,o1,p0,q2,r1,s0,t1,u1
6,2978,32,a3,c2,d2,f2,g2,h0,i2,j0,k1,l2,n2,o1,p0,q2,r1,s1,t1,u1
24,3512,38,a1,c2,d0,f1,g3,h1,i2,j0,k2,l2,n0,o1,p1,q2,r1,s1,t1,u1
15,1271,39,a2,c4,d3,f4,g2,h2,i2,j0,k3,l3,n2,o2,p1,q2,r1,s1,t1,u0
7,2329,45,a1,c2,d3,f0,g1,h0,i1,j2,k0,l0,n2,o1,p0,q2,r1,s0,t1,u1
27,2570,21,a3,c2,d0,f0,g2,h2,i1,j0,k2,l0,n2,o0,p0,q2,r1,s0,t1,u0
15,1300,45,a3,c2,d1,f4,g4,h3,i2,j0,k3,l3,n0,o2,p0,q2,r0,s0,t1,u1
24,3863,32,a3,c3,d8,f0,g2,h0,i2,j0,k1,l3,n2,o2,p0,q2,r1,s0,t1,u1
24,1469,41,a3,c2,d0,f1,g4,h3,i3,j0,k3,l0,n2,o0,p0,q1,r1,s0,t1,u1
15,1537,50,a1,c4,d3,f4,g4,h3,i2,j2,k3,l0,n2,o1,p1,q2,r1,s1,t1,u1
18,3612,37,a1,c4,d2,f0,g4,h2,i1,j0,k3,l1,n2,o1,p0,q2,r1,s1,t0,u1
36,3342,51,a3,c4,d3,f4,g4,h3,i2,j0,k1,l2,n2,o1,p0,q2,r1,s1,t1,u1
10,1275,23,a2,c2,d2,f0,g1,h3,i1,j0,k1,l1,n2,o1,p0,q2,r1,s0,t1,u1
24,8648,27,a3,c3,d8,f0,g1,h1,i2,j0,k1,l2,n0,o1,p1,q2,r1,s1,t1,u0
18,1533,43,a3,c2,d2,f0,g1,h3,i3,j1,k0,l1,n2,o1,p0,q1,r0,s0,t1,u0
18,2249,30,a0,c2,d0,f1,g3,h3,i2,j0,k2,l2,n2,o1,p0,q3,r0,s1,t1,u1
12,2930,27,a1,c2,d3,f0,g3,h1,i1,j0,k0,l0,n2,o1,p0,q2,r1,s0,t1,u1
9,1980,19,a3,c2,d2,f0,g1,h1,i1,j1,k1,l2,n2,o0,p1,q2,r1,s0,t1,u0
24,3660,28,a0,c2,d3,f0,g2,h1,i1,j0,k3,l2,n2,o1,p0,q2,r1,s0,t1,u1
9,3577,26,a3,c2,d0,f1,g2,h0,i2,j2,k1,l0,n2,o0,p0,q2,r0,s0,t0,u1
54,15945,58,a1,c0,d8,f0,g1,h2,i2,j0,k3,l3,n2,o0,p0,q2,r1,s1,t1,u0
12,4843,43,a0,c4,d0,f0,g4,h2,i2,j1,k3,l1,n2,o0,p1,q2,r1,s1,t1,u0
15,4623,40,a3,c2,d6,f1,g2,h2,i2,j0,k1,l1,n2,o1,p0,q3,r1,s1,t1,u0
21,1647,40,a0,c1,d0,f4,g2,h3,i2,j0,k1,l1,n0,o1,p1,q1,r0,s0,t1,u0
24,2197,43,a3,c4,d1,f4,g3,h3,i2,j0,k3,l2,n2,o1,p1,q2,r0,s1,t1,u1
12,2251,46,a2,c2,d2,f0,g2,h0,i1,j0,k1,l2,n2,o1,p0,q1,r1,s0,t1,u1
15,3812,23,a3,c2,d1,f1,g1,h0,i1,j0,k3,l2,n2,o1,p0,q2,r1,s1,t1,u1
21,2580,41,a3,c3,d8,f2,g1,h3,i2,j0,k1,l0,n0,o1,p0,q1,r0,s0,t1,u0
12,996,23,a3,c4,d5,f4,g3,h3,i1,j0,k3,l0,n2,o1,p1,q2,r1,s0,t1,u1
21,2353,47,a1,c3,d0,f0,g2,h0,i0,j0,k3,l1,n2,o1,p1,q2,r1,s0,t1,u1
24,717,54,a3,c3,d0,f4,g4,h3,i3,j0,k3,l2,n2,o1,p1,q2,r1,s1,t1,u1
11,1322,40,a1,c4,d0,f3,g2,h3,i1,j0,k3,l2,n2,o1,p1,q2,r1,s0,t1,u1
24,1546,24,a0,c1,d3,f0,g3,h3,i2,j2,k3,l2,n0,o0,p0,q1,r1,s0,t1,u0
12,1858,22,a0,c2,d2,f0,g1,h3,i1,j0,k0,l2,n2,o0,p0,q2,r1,s0,t1,u1
24,2910,34,a0,c2,d1,f0,g3,h1,i2,j0,k0,l3,n2,o2,p0,q3,r1,s1,t1,u1
18,1553,44,a0,c1,d2,f0,g2,h3,i2,j0,k2,l2,n0,o1,p0,q2,r1,s0,t1,u0
12,754,38,a1,c2,d7,f4,g4,h3,i2,j0,k3,l1,n2,o1,p1,q2,r1,s0,t1,u1
6,1238,36,a3,c2,d7,f4,g0,h3,i2,j0,k3,l1,n2,o1,p0,q3,r0,s1,t1,u1
18,1217,47,a0,c2,d4,f0,g2,h3,i3,j0,k2,l0,n2,o1,p0,q1,r1,s1,t1,u0
36,1819,37,a3,c2,d6,f0,g2,h3,i2,j0,k3,l3,n1,o2,p0,q2,r1,s1,t1,u0
24,2611,46,a3,c4,d3,f0,g4,h3,i3,j1,k2,l0,n2,o1,p1,q2,r1,s0,t1,u1
24,7721,30,a0,c2,d2,f4,g1,h0,i1,j0,k1,l1,n2,o1,p0,q2,r1,s1,t0,u1
6,1299,74,a2,c4,d0,f0,g2,h0,i2,j0,k0,l0,n2,o1,p2,q0,r0,s0,t0,u1
24,1285,32,a0,c2,d0,f4,g3,h3,i1,j0,k3,l3,n2,o0,p0,q2,r1,s0,t1,u0
9,1244,41,a3,c4,d6,f4,g4,h3,i1,j0,k3,l1,n2,o0,p1,q1,r1,s0,t1,u1
10,894,40,a3,c2,d7,f4,g3,h3,i1,j0,k2,l1,n2,o1,p0,q2,r1,s1,t1,u1
12,1922,37,a1,c2,d2,f0,g2,h3,i2,j0,k1,l1,n2,o1,p0,q1,r1,s0,t1,u0
12,1393,47,a3,c2,d6,f0,g4,h3,i2,j0,k3,l1,n0,o1,p2,q2,r0,s1,t1,u1
27,3416,27,a0,c2,d3,f0,g2,h2,i2,j0,k1,l2,n2,o1,p0,q3,r1,s0,t1,u1
6,4716,44,a0,c4,d0,f4,g1,h0,i2,j0,k2,l0,n2,o1,p1,q1,r0,s0,t1,u1
36,1842,34,a0,c2,d0,f0,g1,h3,i1,j0,k3,l2,n2,o1,p0,q2,r1,s1,t1,u0
12,3077,52,a3,c2,d3,f0,g2,h1,i2,j0,k3,l2,n2,o1,p0,q2,r1,s1,t1,u1
10,1924,38,a3,c2,d3,f0,g2,h0,i2,j0,k3,l1,n2,o1,p0,q2,r1,s1,t0,u1
6,1203,43,a0,c2,d0,f1,g4,h2,i2,j0,k1,l1,n2,o1,p0,q2,r1,s1,t1,u1
12,6078,32,a1,c2,d0,f0,g3,h1,i2,j0,k1,l2,n2,o1,p0,q2,r1,s0,t1,u1
12,1255,61,a3,c4,d0,f0,g4,h3,i2,j0,k3,l0,n2,o1,p1,q1,r1,s0,t1,u1
24,2578,34,a3,c4,d3,f3,g4,h1,i2,j0,k1,l2,n2,o1,p0,q2,r1,s0,t1,u1
10,727,46,a3,c2,d6,f2,g4,h3,i2,j0,k3,l3,n2,o2,p0,q2,r1,s1,t1,u1
6,1198,35,a0,c1,d6,f0,g4,h3,i1,j0,k3,l3,n2,o2,p0,q2,r1,s0,t1,u0
24,5804,27,a3,c4,d1,f3,g2,h3,i2,j0,k1,l0,n2,o1,p1,q2,r1,s0,t1,u1
24,5103,47,a3,c4,d3,f0,g1,h2,i3,j0,k2,l3,n2,o2,p2,q2,r1,s1,t1,u1
33,4281,23,a0,c4,d2,f2,g2,h0,i1,j0,k3,l2,n2,o1,p1,q2,r1,s0,t1,u0
24,937,27,a3,c2,d7,f0,g1,h3,i3,j0,k2,l2,n2,o1,p1,q1,r1,s0,t1,u1
12,1567,22,a1,c2,d3,f0,g2,h0,i1,j0,k0,l2,n2,o1,p0,q2,r1,s1,t1,u1
